rating,box_office,genre,director
R,600000,Drama|Science Fiction and Fantasy,David Cronenberg
PG-13,41032915,Comedy,Jake Kasdan
R,224114,Drama,Ray Lawrence
R,134904,Drama,Taylor Hackford
R,1039869,Comedy|Drama|Mystery and Suspense,George Hickenlooper
PG-13,20518224,Action and Adventure|Drama|Science Fiction and Fantasy,Carl Erik Rinsch
R,1971135,Art House and International|Comedy|Drama|Musical and Performing Arts,Jim Jarmusch
R,312136,Drama,John Sayles
R,201010,Drama,Ken Loach
R,54100000,Action and Adventure|Drama|Horror|Mystery and Suspense,James Wong
PG,127706877,Comedy|Kids and Family|Romance,Kevin Lima
R,10880926,Mystery and Suspense,Niels Arden Oplev
R,10706786,Action and Adventure|Mystery and Suspense,Patrick Lussier
PG-13,35565975,Comedy|Drama,Tom Hanks
PG,4806750,Art House and International|Drama|Musical and Performing Arts,Bruce Beresford
R,5051927,Drama|Sports and Fitness,Ben Younger
R,1000000,Comedy|Drama|Kids and Family,Derrick Borte
PG-13,42929971,Action and Adventure|Science Fiction and Fantasy,Rob Bowman
R,13248477,Horror|Mystery and Suspense,Christian Alvart
PG,64001297,Comedy|Kids and Family,Thor Freudenthal
R,2974308,Comedy|Drama,Jennifer Jason Leigh|Alan Cumming
PG-13,37431431,Drama|Sports and Fitness,Clint Eastwood
PG-13,22715908,Comedy,Sam Weisman
PG-13,67771442,Action and Adventure|Drama,Martin Campbell
R,19755422,Horror|Mystery and Suspense,Jamie Blanks
PG,73023275,Action and Adventure|Comedy|Kids and Family,Thor Freudenthal
R,4007792,Comedy|Drama,Colin Trevorrow
NR,1626289,Drama,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra
PG-13,3998889,Comedy,Jeff Byrd
PG-13,12533911,Drama|Romance,Derek Cianfrance
R,2839256,Drama|Musical and Performing Arts,Lars von Trier
PG-13,128579698,Drama|Horror|Mystery and Suspense|Romance,Gore Verbinski
PG,5205343,Comedy|Drama|Musical and Performing Arts,Todd Graff
R,21318194,Action and Adventure|Drama,Stan Lathan|Vondie Curtis-Hall
R,84293,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,Neil Jordan
R,8518148,Drama|Romance,Todd Haynes
R,12583510,Horror,Rob Zombie
R,35000629,Comedy,Mark Helfrich
R,37331031,Comedy|Western,Seth MacFarlane
R,145778,Comedy,Tim Heidecker|Eric Wareheim
R,63400000,Action and Adventure|Drama,Michael Mann
PG-13,80574010,Drama,Ryan Murphy
PG-13,47781388,Drama|Mystery and Suspense,David Koepp
R,5600000,Comedy|Drama,Jennifer Westfeldt
R,200000,Drama,David Lowery
R,134455175,Comedy,Seth Gordon
R,25957696,Horror,Guillermo del Toro
PG-13,3200000,Comedy|Drama,Mike Leigh
PG-13,200000,Documentary|Musical and Performing Arts,Jeffrey Levy-Hinte
R,308164,Art House and International|Drama|Special Interest,Yimou Zhang
PG-13,32741596,Drama|Mystery and Suspense,Clint Eastwood
PG-13,15986272,Comedy|Drama,Tyler Perry
R,13710572,Comedy,Michael Tiddes
R,4756532,Drama,Laurence Dunmore
PG,42194060,Action and Adventure|Animation|Comedy|Kids and Family,Jorge Blanco
PG-13,347321,Drama,Stephen Bradley
R,7366736,Comedy|Drama|Musical and Performing Arts,Ang Lee
R,8134217,Drama|Musical and Performing Arts,Darnell Martin
PG-13,72266306,Action and Adventure|Drama|Mystery and Suspense,Pete Travis
NR,419361,Documentary|Musical and Performing Arts,Dave Grohl
PG,1341151,Art House and International|Drama,Bruce Beresford
PG-13,121500000,Action and Adventure|Mystery and Suspense,Doug Liman
PG-13,154485963,Action and Adventure|Science Fiction and Fantasy,Tim Story
PG,54132596,Action and Adventure|Animation|Science Fiction and Fantasy,Kevin Munroe
PG,24967943,Action and Adventure|Kids and Family|Science Fiction and Fantasy,John Schultz
R,46982632,Action and Adventure|Horror,Christophe Gans
PG-13,55400000,Comedy|Romance,Woody Allen
PG,2536460,Drama,Rowdy Herrington
PG-13,39697363,Comedy|Drama,Brian Robbins
PG-13,2367,Documentary|Musical and Performing Arts|Special Interest,Leon Gast
PG,21379315,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,Simon Wells
NR,292923,Art House and International|Drama,Jayro Bustamante
NR,480926,Comedy|Drama,Nanni Moretti
NR,1231550,Action and Adventure|Art House and International,Rohit Shetty
PG,82468131,Comedy|Kids and Family,Adam Shankman
PG,44478018,Comedy,Jared Hess
R,1300000,Comedy,Jordan Vogt-Roberts
PG,2209479,Drama|Kids and Family,John Stephenson
R,6426953,Comedy|Drama,Tamara Jenkins
R,2586310,Art House and International|Comedy|Drama|Romance,Jenniphr Goodman
R,21254983,Action and Adventure|Mystery and Suspense,John Dahl
PG-13,10500000,Action and Adventure|Drama|Horror|Western,Jimmy Hayward
PG-13,32000000,Comedy|Drama|Romance,Clare Kilner
PG-13,104880310,Comedy,Trish Sie
PG-13,35764982,Action and Adventure|Comedy|Drama,Dennis Dugan
R,14037964,Drama|Mystery and Suspense,Anton Corbijn
PG-13,26800000,Drama|Romance,Justin Chadwick
G,598103,Documentary|Special Interest,Adam Ravetch|Sarah Robertson
PG-13,67631157,Action and Adventure|Mystery and Suspense|Romance,Florian Henckel von Donnersmarck
R,88800000,Drama|Mystery and Suspense,Clint Eastwood
R,22099,Art House and International|Drama|Mystery and Suspense,Guy Maddin
R,12610731,Horror|Mystery and Suspense|Science Fiction and Fantasy,James Isaac
PG,8874389,Drama|Kids and Family,Mira Nair
PG-13,529426,Comedy,Dave McCary
